iter	MultiClass
173	1.922761311
174	1.922681874
175	1.922608601
176	1.922528914
177	1.922458486
178	1.92237454
179	1.922297094
180	1.922223749
181	1.92211394
182	1.922026623
183	1.92192849
184	1.921846719
185	1.921765708
186	1.92168099
187	1.921597787
188	1.921520081
189	1.92143634
190	1.921348039
191	1.921271269
192	1.921191821
193	1.92109785
194	1.921013589
195	1.920933218
196	1.920862014
197	1.920765867
198	1.920701555
199	1.920608674
200	1.920531241
201	1.920453488
202	1.920379026
203	1.920299984
204	1.920217569
205	1.920153899
206	1.920088968
207	1.9199943
208	1.919913105
209	1.919831918
210	1.919757871
211	1.919671129
212	1.919573218
213	1.919498061
214	1.919425411
215	1.919338511
216	1.919259482
217	1.919187305
218	1.919123023
219	1.91903829
220	1.918969777
221	1.91889134
222	1.918807915
223	1.918743048
224	1.918662419
225	1.918598418
226	1.918519075
227	1.918441322
228	1.918359804
229	1.918296354
230	1.918216803
231	1.918148932
232	1.918073406
233	1.918003542
234	1.917928218
235	1.917855453
236	1.917783913
237	1.917719353
238	1.917650534
239	1.917570201
240	1.917502729
241	1.917430982
242	1.917366904
243	1.917297166
244	1.917212083
245	1.917142196
246	1.917073621
247	1.917013875
248	1.916954672
249	1.916879952
250	1.916815264
251	1.916755505
252	1.916685627
253	1.916613168
254	1.916528193
255	1.916471782
256	1.916411982
257	1.916351922
258	1.9162766
259	1.916203487
260	1.91614038
261	1.91607225
262	1.915994487
263	1.915936798
264	1.915875006
265	1.915819686
266	1.915745395
267	1.915676127
268	1.91561102
269	1.915544706
270	1.915467021
271	1.915387607
272	1.915318142
273	1.915255475
274	1.915185943
275	1.915107683
276	1.915046995
277	1.914988558
278	1.914897144
279	1.914814002
280	1.914744981
281	1.91467861
282	1.914624755
283	1.914553013
284	1.914492593
285	1.914428503
286	1.914353284
287	1.914290557
288	1.914227046
289	1.914153845
290	1.914096051
291	1.914033392
292	1.913967932
293	1.913896195
294	1.913833413
295	1.913762249
296	1.913694827
297	1.913630027
298	1.913576065
299	1.913514133
300	1.913451252
301	1.913383605
302	1.913314105
303	1.913245022
304	1.913169381
305	1.913114745
306	1.913047981
307	1.912971506
308	1.91290419
309	1.912837513
310	1.912778234
311	1.912715587
312	1.912652907
313	1.912586995
314	1.912514288
315	1.912443929
316	1.912390318
317	1.912332196
318	1.912269094
319	1.912197336
320	1.912132483
321	1.912073731
322	1.91200466
323	1.91194141
324	1.911867738
325	1.911799111
326	1.911744782
327	1.911677625
328	1.911614465
329	1.911545468
330	1.911476294
331	1.911415819
332	1.91135669
333	1.911274197
334	1.91120746
335	1.911145455
336	1.911083126
337	1.911022567
338	1.910938274
339	1.910890499
340	1.910811995
341	1.910746548
342	1.910681454
343	1.910610525
344	1.910546239
345	1.910476888
346	1.910419534
347	1.910353882
348	1.91028559
349	1.910229532
350	1.910171584
351	1.910119714
352	1.910052902
353	1.909993161
354	1.909937292
355	1.90987799
356	1.909804046
357	1.909740358
358	1.909674261
359	1.909622265
360	1.909551577
361	1.909494247
362	1.909436193
363	1.909373121
364	1.909303728
365	1.909238691
366	1.909177214
367	1.909118962
368	1.909061794
369	1.908992699
370	1.908935887
371	1.908873102
372	1.908799961
373	1.908742223
374	1.908684429
375	1.90862054
376	1.908557069
377	1.908494925
378	1.90841674
379	1.908352175
380	1.908291147
381	1.908237274
382	1.908176154
383	1.908118422
384	1.908049813
385	1.907976114
386	1.907917142
387	1.907858185
388	1.907790849
389	1.907736459
390	1.907665278
391	1.907611618
392	1.907567125
393	1.907502807
394	1.90744473
395	1.907378186
396	1.907317107
397	1.907266729
398	1.907212273
399	1.907156939
400	1.907113285
401	1.90705584
402	1.906999306
403	1.906944715
404	1.906887746
405	1.906829408
406	1.906770536
407	1.906719427
408	1.906647387
409	1.906593167
410	1.906534191
411	1.906480091
412	1.906434202
413	1.906379606
414	1.906326825
415	1.906261823
416	1.906214286
417	1.906151039
418	1.906091022
419	1.90604013
420	1.905984383
421	1.905931494
422	1.905868804
423	1.905806067
424	1.905749382
425	1.905670297
426	1.905616359
427	1.905549212
428	1.905488737
429	1.905430022
430	1.905373698
431	1.905307196
432	1.905250388
433	1.9051888
434	1.905120447
435	1.905041673
436	1.904968069
437	1.904910426
438	1.904850821
439	1.904786859
440	1.904731683
441	1.904665471
442	1.904609564
443	1.904561649
444	1.90451063
445	1.90445548
446	1.904392404
447	1.904347155
448	1.904280842
449	1.904233235
450	1.904170539
451	1.904109562
452	1.904051212
453	1.9040017
454	1.903949041
455	1.903896594
456	1.903845649
457	1.903782666
458	1.903715376
459	1.903650649
460	1.903596854
461	1.903544938
462	1.903484065
463	1.903418268
464	1.903365767
465	1.903306286
466	1.903256884
467	1.903202714
468	1.903139274
469	1.90308092
470	1.903015918
471	1.902963724
472	1.902909063
473	1.902856257
474	1.902788297
475	1.902735046
476	1.902677639
477	1.902625502
478	1.902573739
479	1.902509948
480	1.902453114
481	1.902401602
482	1.902346236
483	1.902288073
484	1.902229368
485	1.902168226
486	1.902117096
487	1.902077574
488	1.902009965
489	1.901945948
490	1.901885912
491	1.901828665
492	1.901774181
493	1.901722176
494	1.901664816
495	1.901610374
496	1.901560846
497	1.901504025
498	1.901456635
499	1.901392322
500	1.901341447
501	1.901279054
502	1.901211067
503	1.901163713
504	1.901121133
505	1.901071113
506	1.901013812
507	1.900959168
508	1.900909821
509	1.90085826
510	1.900784635
511	1.900720905
512	1.900669757
513	1.900617788
514	1.900559077
515	1.900505956
516	1.900447814
517	1.900393139
518	1.900328576
519	1.90027599
520	1.900220701
521	1.900175026
522	1.900129393
523	1.900055285
524	1.899995348
525	1.899949323
526	1.899895521
527	1.899840004
528	1.899783851
529	1.899739721
530	1.899687975
531	1.899636912
532	1.899574791
533	1.899526063
534	1.899472303
535	1.899409779
536	1.899363306
537	1.899302608
538	1.899248365
539	1.899198772
540	1.89914828
541	1.899086052
542	1.899045611
543	1.898995023
544	1.89893202
545	1.898879745
546	1.898822302
547	1.898765809
548	1.898711714
549	1.898661473
550	1.89860857
551	1.898557053
552	1.898502108
553	1.89845317
554	1.89840117
555	1.898339359
556	1.898296006
557	1.898242283
558	1.898192581
559	1.898144823
560	1.898098234
561	1.898053884
562	1.897987654
563	1.897934835
564	1.897882412
565	1.897831597
566	1.897768867
567	1.897720944
568	1.897663198
569	1.897607878
570	1.897564989
571	1.897515701
572	1.897454576
573	1.897398437
574	1.897345457
575	1.897286242
576	1.89723952
577	1.897182884
578	1.897132019
579	1.897075143
580	1.897030138
581	1.896981553
582	1.896928046
583	1.896875533
584	1.896815267
585	1.896760646
586	1.89670561
587	1.89665399
588	1.8965933
589	1.896538293
590	1.896486563
591	1.896441101
592	1.8963849
593	1.896336809
594	1.896292377
595	1.896236712
596	1.896170571
597	1.896123205
598	1.896072928
599	1.896024835
600	1.895972913
601	1.89591722
602	1.895855235
603	1.895807515
604	1.895745638
605	1.895697
606	1.895638467
607	1.895587923
608	1.895526346
609	1.895470068
610	1.895404844
611	1.895358571
612	1.895311577
613	1.895261349
614	1.895216405
615	1.895167673
616	1.895106575
617	1.895052198
618	1.894988991
619	1.894948309
620	1.894892902
621	1.894829294
622	1.894784235
623	1.89473792
624	1.894684635
625	1.894634517
626	1.894591739
627	1.894544735
628	1.894493409
629	1.894436905
630	1.894369581
631	1.894316535
632	1.894262129
633	1.894209862
634	1.894154923
635	1.89409912
636	1.894048139
637	1.893991147
638	1.893943152
639	1.893895259
640	1.893830176
641	1.893769894
642	1.893710225
643	1.893660607
644	1.893616439
645	1.893571463
646	1.893520264
647	1.893476764
648	1.893429166
649	1.89338014
650	1.893319414
651	1.893272493
652	1.893215814
653	1.893164651
654	1.893111887
655	1.893059952
656	1.893004569
657	1.892940575
658	1.89288948
659	1.892836296
660	1.892787521
661	1.892726209
662	1.892672446
663	1.892615359
664	1.892569223
665	1.892515767
666	1.892467135
667	1.892422973
668	1.892377929
669	1.892323893
670	1.892281401
671	1.892237917
672	1.892179614
673	1.892129618
674	1.89208963
675	1.89204483
676	1.891981474
677	1.891937033
678	1.891877262
679	1.891826619
680	1.891790831
681	1.89174154
682	1.891683228
683	1.891626641
684	1.89157553
685	1.891527226
686	1.891483951
687	1.891431405
688	1.89138427
689	1.89133877
690	1.891294996
691	1.891237948
692	1.891185048
693	1.891132262
694	1.891084194
695	1.891018858
696	1.890976028
697	1.890919137
698	1.890864239
699	1.890810559
700	1.890759204
701	1.890710491
702	1.89065469
703	1.890607931
704	1.890567188
705	1.890522756
706	1.890459971
707	1.890409244
708	1.890363177
709	1.89031678
710	1.890268909
711	1.890220595
712	1.890170205
713	1.890122237
714	1.890076902
715	1.890030045
716	1.889979859
717	1.889931054
718	1.889881665
719	1.889836015
720	1.88978655
721	1.889732375
722	1.889687417
723	1.889630959
724	1.889587335
725	1.889539144
726	1.889487911
727	1.889437439
728	1.889394363
729	1.889351559
730	1.889303714
731	1.889261425
732	1.889216219
733	1.889168949
734	1.889123959
735	1.889074107
736	1.88902515
737	1.888972517
738	1.888924452
739	1.888874097
740	1.888826384
741	1.888769404
742	1.888723087
743	1.888669313
744	1.888620835
745	1.888575207
746	1.888523951
747	1.888476482
748	1.888439375
749	1.888392567
750	1.888338611
751	1.888297066
752	1.888250613
753	1.888206912
754	1.888153236
755	1.888098917
756	1.888049639
757	1.88799732
758	1.88795654
759	1.887908064
760	1.887861445
761	1.887810654
762	1.8877698
763	1.887717616
764	1.887661932
765	1.887615938
766	1.887568808
767	1.887524693
768	1.887484219
769	1.887439987
770	1.887391191
771	1.887349074
772	1.887297484
773	1.887239347
774	1.887188036
775	1.887143492
776	1.887091005
777	1.887046585
778	1.886992401
779	1.886950702
780	1.886901036
781	1.886852445
782	1.886797666
783	1.886750029
784	1.886698483
785	1.886645515
786	1.886603115
787	1.886559763
788	1.886514659
789	1.886472258
790	1.886430166
791	1.886383753
792	1.886327091
793	1.886282731
794	1.886233445
795	1.886181903
796	1.886132716
797	1.886085963
798	1.886036081
799	1.885993292
800	1.885944189
801	1.885904362
802	1.885848022
803	1.885807655
804	1.885764282
805	1.885711906
806	1.88566365
807	1.885619301
808	1.885579178
809	1.885538483
810	1.885495126
811	1.885449021
812	1.88539634
813	1.885351918
814	1.885305419
815	1.885255999
816	1.885206296
817	1.885162145
818	1.885119505
819	1.885073938
820	1.885029031
821	1.884984327
822	1.884943313
823	1.884895704
824	1.884839927
825	1.884793212
826	1.884744381
827	1.884692956
828	1.884649204
829	1.884603977
830	1.884559081
831	1.884500429
832	1.884452553
833	1.88440656
834	1.88435893
835	1.884314575
836	1.884258935
837	1.884197483
838	1.884144625
839	1.88409345
840	1.884041446
841	1.88399966
842	1.883959557
843	1.883913895
844	1.883866947
845	1.883816247
846	1.883774021
847	1.883727255
848	1.883676759
849	1.88362617
850	1.883583542
851	1.883541635
852	1.883489043
853	1.883452192
854	1.883407784
855	1.883355881
856	1.883305795
857	1.883253248
858	1.883212114
859	1.883162429
860	1.883113231
861	1.883060454
862	1.883015928
863	1.882965957
864	1.882912856
865	1.882864945
866	1.882828344
867	1.882790754
868	1.882722689
869	1.882680527
870	1.882627031
871	1.882586931
872	1.882547942
873	1.882504254
874	1.88245993
875	1.882414087
876	1.882366904
877	1.882323999
878	1.882277577
879	1.882240592
880	1.882197537
881	1.882151703
882	1.882106381
883	1.882057728
884	1.882014606
885	1.88197148
886	1.881922666
887	1.881870524
888	1.88181615
889	1.881765095
890	1.881721332
891	1.881682266
892	1.881637623
893	1.881592324
894	1.881549562
895	1.881499955
896	1.881460296
897	1.881418773
898	1.881366225
899	1.881326048
900	1.881278978
901	1.881244678
902	1.881201209
903	1.88115868
904	1.88111309
905	1.881072127
906	1.881022657
907	1.880982329
908	1.880934358
909	1.880891313
910	1.880851473
911	1.880804803
912	1.880767318
913	1.880721191
914	1.880671826
915	1.880629354
916	1.880584302
917	1.880543985
918	1.880497965
919	1.880447108
920	1.880391985
921	1.88034634
922	1.880303258
923	1.88026369
924	1.880213832
925	1.880167059
926	1.880114699
927	1.880067271
928	1.880025303
929	1.879985361
930	1.879942563
931	1.879896607
932	1.879862295
933	1.879807368
934	1.879757963
935	1.879718424
936	1.879680016
937	1.879640697
938	1.879599368
939	1.879559774
940	1.879515141
941	1.879472212
942	1.879432316
943	1.879393188
944	1.879343917
945	1.879299098
946	1.879253735
947	1.879211231
948	1.879167259
949	1.879120683
950	1.879079474
951	1.879025891
952	1.878981901
953	1.878941822
954	1.878896129
955	1.878848835
956	1.878806973
957	1.878773573
958	1.878735098
959	1.878683411
960	1.878641215
961	1.878591118
962	1.878551466
963	1.878505144
964	1.878460827
965	1.878413558
966	1.878365961
967	1.878312711
968	1.878269357
969	1.878230852
970	1.878189649
971	1.878148011
972	1.878105231
973	1.87805117
974	1.878006637
975	1.877963338
976	1.877924071
977	1.877882496
978	1.877851218
979	1.877807739
980	1.877764103
981	1.877719136
982	1.877670708
983	1.87762576
984	1.87758288
985	1.877546311
986	1.877501247
987	1.877465895
988	1.87742565
989	1.877384432
990	1.877341003
991	1.877293624
992	1.877255098
993	1.87721328
994	1.877174494
995	1.877132293
996	1.877087166
997	1.877054345
998	1.877012635
999	1.876976268
